Planet,Host Star,Orbital Period (days),Planet Radius (Earth radii),Planet Mass (Earth masses),Equilibrium Temp (K),Semi-Major Axis (AU),Eccentricity ,Stellar Temp (K),Stellar Radius (Solar radii) , Stellar Mass (Solar masses) 
TOI-4010 b,TOI-4010,1.348335,3.02,11,1441,0.0229,0.03,4960,0.83,0.88
TOI-2384 b,TOI-2384,2.13570304,11.48920522,624.8506482,889.7,0.02793,0,3943,0.6113,0.635
HAT-P-28 b,HAT-P-28,3.257215,13.585,198.953,1384,0.0434,0.051,5680,1.103,1.025
TOI-1710 b,TOI-1710,24.283382,5.15,18.4,730,0.164,0.185,5730,0.95,0.99
TOI-3894 b,TOI-3894,4.3345401,15.22179579,270.154146,1519,0.0543,0.048,6000,1.502,1.138
NGTS-10 b,NGTS-10,0.7668944,13.506845,687.14846,1332,0.0143,0,4600,0.697,0.696
HD 3167 b,HD 3167,0.959632,1.574,5.69,1759,0.01752,0,5286,0.835,0.877
HD 3167 c,HD 3167,29.84622,2.74,8.33,548,0.1806,0.05,5286,0.835,0.877
KOI-1257 b,KOI-1257,86.647661,10.54,460.83,511,0.382,0.772,5520,1.13,0.99
TOI-1248 b,TOI-1248,4.3601561,6.8084859,27.4,952.09,0.051,0,5205,0.8686,0.9042
TOI-4773 b,TOI-4773,1.7452851,15.22179579,1687.668841,2255,0.03216,0.024,6740,1.55,1.452
Kepler-109 c,Kepler-109,21.22265,2.65,8.2,859,0.1546,0.098,5950,1.387,1.094
TOI-4734 b,TOI-4734,6.235633,10.9175472,61.65871096,1468,0.074,0.12,6070,1.857,1.391
TOI-1386 b,TOI-1386,25.8401,6.2163865,45.8,615.03,0.173,0,5735,1.0235,1.0363
CoRoT-23 b,CoRoT-23,3.6313,11.77,889.9,1660,0.048,0.16,5900,1.61,1.14
Kepler-74 b,Kepler-74,7.340718,14.8,216.12,1250,0.084,0.287,6050,1.51,1.4
Kepler-391 b,Kepler-391,7.4175,2.5,1100,930,0.083,0.46,5038,2.879,1.27
HAT-P-30 b,HAT-P-30,2.810595,15.02,225.968,1630,0.0419,0.035,6304,1.215,1.242
HAT-P-32 b,HAT-P-32,2.150008,20.053,273.322,1786,0.0343,0,6207,1.219,1.16
Kepler-17 b,Kepler-17,1.4857108,14.68,778.65,1570,0.02591,0.011,5781,1.01034,1.04
Qatar-2 b,Qatar-2,1.3371182,12.823,790.41,1292,0.02149,0,4645,0.713,0.74
WASP-79 b,WASP-79,3.6623866,23.43,286.03,1900,0.0535,0,6600,1.91,1.52
HAT-P-38 b,HAT-P-38,4.640382,9.247,84.857,1082,0.0523,0.067,5330,0.923,0.886
HAT-P-41 b,HAT-P-41,2.694047,18.887,254.253,1941,0.0426,0,6390,1.683,1.418
HD 202772 A b,HD 202772 A,3.308958,17.317905,323.23311,2132,0.05208,0.038,6272,2.591,1.72
WASP-14 b,WASP-14,2.2437655,13.89916,2412.3297,1872,0.037,0.087,6475,1.318,1.3
HAT-P-20 b,HAT-P-20,2.875316938,11.489225,2294.7326,964,0.03593,0.0172,4595,0.6796,0.742
